
> my-project@0.1.0 dev
> next dev --hostname 127.0.0.1 --port 3002

▲ Next.js 16.2.4 (Turbopack)
- Local:         http://127.0.0.1:3002
- Network:       http://127.0.0.1:3002
✓ Ready in 10.7s

 GET / 200 in 518ms (next.js: 10ms, proxy.ts: 8ms, application-code: 500ms)
 GET / 200 in 482ms (next.js: 19ms, proxy.ts: 11ms, application-code: 452ms)
 GET / 200 in 226ms (next.js: 12ms, proxy.ts: 5ms, application-code: 210ms)
 GET / 200 in 175ms (next.js: 5ms, proxy.ts: 5ms, application-code: 165ms)
 GET / 200 in 297ms (next.js: 23ms, proxy.ts: 14ms, application-code: 260ms)
✓ Compiled in 2.1s
 GET / 200 in 3.1s (next.js: 663ms, proxy.ts: 254ms, application-code: 2.2s)
 GET / 200 in 2.3s (next.js: 1882ms, proxy.ts: 13ms, application-code: 381ms)
 GET / 200 in 3.3s (next.js: 582ms, proxy.ts: 231ms, application-code: 2.5s)
 GET / 200 in 3.1s (next.js: 704ms, proxy.ts: 29ms, application-code: 2.3s)
 GET / 200 in 3.1s (next.js: 2.0s, proxy.ts: 28ms, application-code: 1023ms)
 GET / 200 in 1054ms (next.js: 79ms, proxy.ts: 46ms, application-code: 929ms)
 GET / 200 in 1237ms (next.js: 30ms, proxy.ts: 23ms, application-code: 1183ms)
 GET / 200 in 719ms (next.js: 78ms, proxy.ts: 547ms, application-code: 94ms)
 GET / 200 in 1033ms (next.js: 152ms, proxy.ts: 21ms, application-code: 860ms)
✓ Compiled in 3s
✓ Compiled in 432ms
 GET / 200 in 3.6s (next.js: 1691ms, proxy.ts: 645ms, application-code: 1229ms)
 GET / 200 in 3.6s (next.js: 2.4s, proxy.ts: 691ms, application-code: 570ms)
 GET / 200 in 2.1s (next.js: 584ms, proxy.ts: 330ms, application-code: 1203ms)
 GET / 200 in 1771ms (next.js: 987ms, proxy.ts: 26ms, application-code: 757ms)
 GET / 200 in 877ms (next.js: 260ms, proxy.ts: 52ms, application-code: 566ms)
 GET / 200 in 321ms (next.js: 43ms, proxy.ts: 55ms, application-code: 223ms)
 GET / 200 in 657ms (next.js: 225ms, proxy.ts: 98ms, application-code: 334ms)
 GET / 200 in 194ms (next.js: 22ms, proxy.ts: 19ms, application-code: 153ms)
 GET / 200 in 643ms (next.js: 289ms, proxy.ts: 167ms, application-code: 187ms)
 GET / 200 in 723ms (next.js: 17ms, proxy.ts: 16ms, application-code: 690ms)
 GET / 200 in 247ms (next.js: 27ms, proxy.ts: 27ms, application-code: 194ms)
 GET / 200 in 96ms (next.js: 12ms, proxy.ts: 10ms, application-code: 75ms)
 GET / 200 in 1480ms (next.js: 27ms, proxy.ts: 28ms, application-code: 1424ms)
 GET /demo/plot-3d/ 200 in 509ms (next.js: 158ms, proxy.ts: 19ms, application-code: 332ms)
 GET /signup/?next=/dashboard&intent=add-property 200 in 818ms (next.js: 361ms, proxy.ts: 11ms, application-code: 446ms)
 GET / 200 in 316ms (next.js: 20ms, proxy.ts: 19ms, application-code: 278ms)
✓ Compiled in 630ms
 GET / 200 in 894ms (next.js: 68ms, proxy.ts: 166ms, application-code: 660ms)
 GET / 200 in 746ms (next.js: 27ms, proxy.ts: 18ms, application-code: 701ms)
 GET / 200 in 679ms (next.js: 21ms, proxy.ts: 8ms, application-code: 650ms)
 GET / 200 in 364ms (next.js: 24ms, proxy.ts: 16ms, application-code: 323ms)
 GET / 200 in 431ms (next.js: 8ms, proxy.ts: 7ms, application-code: 417ms)
 GET / 200 in 501ms (next.js: 38ms, proxy.ts: 36ms, application-code: 427ms)
 GET / 200 in 689ms (next.js: 11ms, proxy.ts: 19ms, application-code: 658ms)
✓ Compiled in 629ms
 GET / 200 in 183ms (next.js: 17ms, proxy.ts: 14ms, application-code: 153ms)
 GET / 200 in 410ms (next.js: 15ms, proxy.ts: 11ms, application-code: 385ms)
✓ Compiled in 145ms
 GET / 200 in 229ms (next.js: 13ms, proxy.ts: 9ms, application-code: 207ms)
 GET / 200 in 468ms (next.js: 20ms, proxy.ts: 20ms, application-code: 428ms)
